 CPU usage           ,CPU temperature     ,GPU1 usage          ,GPU1 temperature    ,GPU2 usage          ,GPU2 temperature    ,RAM usage           
 4.883               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7012.000            
 5.469               ,39.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7012.000            
 10.156              ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7013.000            
 6.641               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7014.000            
 5.469               ,40.000              ,2.000               ,41.000              ,4.000               ,36.000              ,7015.000            
 3.906               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7022.000            
 4.688               ,40.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7024.000            
 4.688               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7025.000            
 4.688               ,40.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7025.000            
 4.883               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7025.000            
 4.492               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7024.000            
 14.648              ,41.000              ,19.000              ,40.000              ,13.000              ,36.000              ,7026.000            
 6.445               ,39.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7026.000            
 4.102               ,39.000              ,7.000               ,40.000              ,0.000               ,36.000              ,7025.000            
 3.906               ,39.000              ,5.000               ,40.000              ,3.000               ,36.000              ,7025.000            
 4.492               ,40.000              ,1.000               ,40.000              ,3.000               ,36.000              ,7034.000            
 4.297               ,39.000              ,1.000               ,40.000              ,0.000               ,36.000              ,7035.000            
 7.422               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7036.000            
 5.273               ,39.000              ,2.000               ,40.000              ,4.000               ,36.000              ,7035.000            
 8.789               ,40.000              ,9.000               ,40.000              ,1.000               ,36.000              ,7033.000            
 5.078               ,40.000              ,2.000               ,40.000              ,0.000               ,36.000              ,7025.000            
 3.516               ,39.000              ,1.000               ,40.000              ,0.000               ,36.000              ,7025.000            
 3.516               ,40.000              ,1.000               ,40.000              ,0.000               ,36.000              ,7024.000            
 5.469               ,40.000              ,4.000               ,40.000              ,8.000               ,36.000              ,7024.000            
 8.398               ,40.000              ,10.000              ,40.000              ,5.000               ,36.000              ,7025.000            
 6.445               ,40.000              ,0.000               ,41.000              ,0.000               ,36.000              ,7029.000            
 8.594               ,40.000              ,2.000               ,40.000              ,4.000               ,36.000              ,7034.000            
 5.859               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7032.000            
 3.711               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7024.000            
